trial,swap_count,choice_arm,reward,is_optimal,q_arm1_pre,q_arm2_pre,q_arm3_pre,q_chosen_pre,p_choose_arm1,p_choose_arm2,p_choose_arm3,p_chosen,prediction_error,alpha_used,rt,participant_id,session,file_name
1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1.0,0.7779413151016228,0.6657,1,1,sub-001_ses-001_1.csv
2,0,1,1,1.0,0.0,-0.7779413151016228,0.0,0.0,0.4670989390490464,0.06580212190190711,0.4670989390490464,0.4670989390490464,1.0,0.8052152389611741,0.4326,1,1,sub-001_ses-001_1.csv
3,0,1,1,1.0,0.8052152389611741,-0.7779413151016228,0.0,0.8052152389611741,0.8695296318183219,0.01611035837751435,0.1143600098041637,0.8695296318183219,0.19478476103882592,0.8052152389611741,0.3763,1,1,sub-001_ses-001_1.csv
4,0,1,1,1.0,0.9620588968670475,-0.7779413151016228,0.0,0.9620588968670475,0.9082078790189341,0.011334404783605086,0.08045771619746095,0.9082078790189341,0.037941103132952514,0.8052152389611741,0.4071,1,1,sub-001_ses-001_1.csv
5,0,1,1,1.0,0.9926096512926984,-0.7779413151016228,0.0,0.9926096512926984,0.914425932631782,0.010566605370530032,0.07500746199768807,0.914425932631782,0.007390348707301597,0.8052152389611741,0.0798,1,1,sub-001_ses-001_1.csv
6,0,1,1,1.0,0.9985604726930547,-0.7779413151016228,0.0,0.9985604726930547,0.9155918136019763,0.010422643484646471,0.07398554291337717,0.9155918136019763,0.0014395273069452985,0.8052152389611741,0.2524,1,1,sub-001_ses-001_1.csv
7,0,1,1,1.0,0.9997196020175078,-0.7779413151016228,0.0,0.9997196020175078,0.9158172250381227,0.010394809892472883,0.07378796506940445,0.9158172250381227,0.000280397982492242,0.8052152389611741,0.2482,1,1,sub-001_ses-001_1.csv
8,0,1,0,1.0,0.9999453827459844,-0.7779413151016228,0.0,0.9999453827459844,0.9158610680958977,0.010389396192925848,0.07374953571117618,0.9158610680958977,-1.9999453827459845,0.7779413151016228,0.7058,1,1,sub-001_ses-001_1.csv
9,0,3,0,0.0,-0.5558947584388451,-0.7779413151016228,0.0,0.0,0.1776609705319661,0.10154165008639716,0.7207973793816367,0.7207973793816367,-1.0,0.7779413151016228,1.1494,1,1,sub-001_ses-001_1.csv
10,0,2,1,0.0,-0.5558947584388451,-0.7779413151016228,-0.7779413151016228,-0.7779413151016228,0.4666149544499103,0.2666925227750448,0.2666925227750448,0.2666925227750448,1.7779413151016228,0.8052152389611741,0.282,1,1,sub-001_ses-001_1.csv
11,0,2,1,0.0,-0.5558947584388451,0.6536841257968744,-0.7779413151016228,0.6536841257968744,0.044188166832330976,0.9305562052094699,0.02525562795819899,0.9305562052094699,0.3463158742031256,0.8052152389611741,0.2542,1,1,sub-001_ses-001_1.csv
12,0,2,0,0.0,-0.5558947584388451,0.9325429451993921,-0.7779413151016228,0.9325429451993921,0.022682542492587568,0.9643533113251884,0.012964146182223786,0.9643533113251884,-1.932542945199392,0.7779413151016228,0.2358,1,1,sub-001_ses-001_1.csv
13,0,1,0,1.0,-0.5558947584388451,-0.5708620550793864,-0.7779413151016228,-0.5558947584388451,0.394548621927303,0.3799481739088768,0.22550320416382025,0.394548621927303,-0.44410524156115494,0.7779413151016228,0.2897,1,1,sub-001_ses-001_1.csv
14,0,2,1,0.0,-0.9013825741024538,-0.5708620550793864,-0.7779413151016228,-0.5708620550793864,0.2143958680803259,0.4930021900161713,0.2926019419035029,0.4930021900161713,1.5708620550793864,0.8052152389611741,0.2417,1,1,sub-001_ses-001_1.csv
