participant_id,session,task_version,trial_type,t_onset_s,seed,trial,swap_count,position1,position2,position3,p_reward_pos1,p_reward_pos2,p_reward_pos3,choice,chosen_logo,rt_s,choice_late,outcome,points,optimal_position,is_optimal,optimal_points,regret,cumulative_score,anticip_ms,isi_ms,cf_outcome_pos1,cf_outcome_pos2,cf_outcome_pos3,cf_points_pos1,cf_points_pos2,cf_points_pos3,bonus_trial_index,position_in_bandit_stream,food_set,cue_type,food_bonus_cue,cue_image,cue_duration_ms,anticipatory_delay_ms,adaptive_window_ms,target_response_key,target_rt_ms,premature_rt_ms,target_hit,target_miss,target_too_fast,target_no_response,bonus_points_earned,bonus_cumulative,bonus_hit_rate,cue_onset_ms,delay_onset_ms,target_onset_ms,response_ms,feedback_onset_ms,trigger_code
001,001,v12,bandit,0.0,3616709992,1,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.6657,0,loss,-10,1,0,10,20,-10,678,435,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,3.8494,3616709992,2,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4326,0,reward,10,1,1,10,0,0,484,668,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,7.6827,3616709992,3,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3763,0,reward,10,1,1,10,0,10,503,583,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,11.4327,3616709992,4,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4071,0,reward,10,1,1,10,0,20,624,402,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,15.166,3616709992,5,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.0798,0,reward,10,1,1,10,0,30,610,659,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,18.7161,3616709992,6,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2524,0,reward,10,1,1,10,0,40,621,524,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,22.3493,3616709992,7,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2482,0,reward,10,1,1,10,0,50,571,657,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,26.0826,3616709992,8,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.7058,0,loss,-10,1,1,-10,0,40,568,673,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bonus_food,30.1326,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_111.jpg,1500,1981,450,down,599,,0,1,0,0,0,0,0.0,1083,2617,4617,5216,5220,bonus_feedback
001,001,v12,bandit,36.8829,3616709992,9,0,circle,triangle,heart,0.8,0.5,0.3,3,heart,1.1494,0,loss,-10,1,0,10,20,30,538,527,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,41.1659,3616709992,10,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.282,0,reward,10,1,0,10,0,40,426,613,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,44.7325,3616709992,11,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2542,0,reward,10,1,0,10,0,50,619,445,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,48.2659,3616709992,12,0,circle,triangle,heart,0.8,0.5,0.3,2,triangle,0.2358,0,loss,-10,1,0,10,20,40,437,548,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bandit,51.5659,3616709992,13,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2897,0,loss,-10,1,1,-10,0,30,698,546,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
